Neighborhood,bars,restaurants,laundry,pizza,hospitals,coffee,boutique,clothing,education,arts
Central Bronx,0.36740000000000006,0.5932000000000001,0.0,0.12060000000000001,0.0,0.12400000000000003,0.0,0.0,0.0,0.1962
Bronx Park and Fordham,1.0900000000000003,2.5012,1.0501999999999998,1.8712,0.1358,1.6245999999999998,0.3694,0.2814,0.8620000000000001,2.0707999999999998
High Bridge and Morrisania,1.0972,2.3032000000000004,0.30060000000000003,0.6752,0.06160000000000001,0.9702000000000002,0.09059999999999999,0.8448,0.06040000000000001,0.1504
Hunts Point and Mott Haven,1.3521999999999998,2.5278,0.030200000000000005,1.7218,0.25739999999999996,1.5546000000000002,0.13640000000000002,0.5886,0.2858,0.6204
Kingsbridge and Riverdale,0.11359999999999999,0.3014,2.9866,0.1572,0.4822,3.1211999999999995,0.3016,0.4526,2.1062000000000003,2.825
Northeast Bronx,0.8832000000000001,2.346,1.1422,1.476,1.4609999999999999,1.2799999999999998,0.3694,0.2552,0.5758,1.7852000000000001
Southeast Bronx,0.8832000000000001,2.346,1.1422,1.476,1.4609999999999999,1.2799999999999998,0.3694,0.2552,0.5758,1.7852000000000001
Central Brooklyn,2.2554000000000003,2.5626,1.434,2.3662,0.6908,2.3213999999999997,0.17460000000000003,1.1776000000000002,0.5276,1.4330000000000003
Southwest Brooklyn,2.4870000000000005,2.7846,1.6469999999999998,2.0632,0.030200000000000005,2.6906000000000003,0.9268000000000001,1.4218000000000004,0.3992,2.0554
Borough Park,0.695,2.3712000000000004,0.5115999999999999,0.7934,0.7684000000000001,1.6885999999999999,0.2862,0.8572,0.030200000000000005,0.7223999999999999
Canarsie and Flatlands,0.33659999999999995,2.1215999999999995,0.1358,0.39280000000000004,0.0754,0.12060000000000001,0.0,0.25579999999999997,0.7532,0.6326
Southern Brooklyn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northwest Brooklyn,2.4870000000000005,2.7846,1.6469999999999998,2.0632,0.030200000000000005,2.6906000000000003,0.9268000000000001,1.4218000000000004,0.3992,2.0554
Flatbush,2.7194000000000003,2.754199999999999,2.1464000000000008,2.3446000000000002,2.1718,2.6712,2.066,2.5959999999999996,2.9664,2.938
East New York and New Lots,0.0,0.40700000000000003,0.0,0.0,0.0,0.030200000000000005,0.0,0.0,0.15299999999999997,0.06259999999999999
Greenpoint,2.8066000000000004,2.9680000000000004,2.3124000000000002,2.3448,0.5364,2.9586,2.0944000000000003,2.583200000000001,1.8419999999999999,2.8606
Sunset Park,2.3882,2.7632000000000003,0.9974000000000001,2.1322,0.0316,2.4496000000000007,0.0904,0.7094000000000001,0.5074,1.4460000000000004
Bushwick and Williamsburg,2.9198,3.318,1.2038000000000002,3.0138000000000003,1.0261999999999998,2.9012000000000007,2.6016000000000004,2.648,2.4086,2.8
Central Harlem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea and Clinton,0.8688,2.3424000000000005,2.1932,0.8620000000000001,2.587,0.9583999999999999,0.12080000000000002,0.1508,0.6194,2.9002000000000003
East Harlem,2.8096000000000005,2.9793999999999996,1.8194000000000004,2.4080000000000004,0.6325999999999999,2.4526000000000003,0.6846,1.7260000000000002,1.2815999999999999,2.4242000000000004
Gramercy Park and Murray Hill,3.3360000000000007,3.7516,2.3438,3.2513999999999994,2.6845999999999997,2.938999999999999,2.5496000000000003,2.3916,2.734,2.6253999999999995
Greenwich Village and Soho,3.4223999999999997,4.270200000000001,2.4332000000000003,3.3308,2.5991999999999997,3.1632000000000007,2.6634,2.4863999999999997,2.7702,2.6714
Lower Manhattan,3.1904000000000003,3.9474000000000005,2.0918,3.3462000000000005,2.5004,3.1882,2.4874,2.7194000000000003,2.8674000000000004,2.8920000000000003
Lower East Side,3.2718,3.617600000000001,2.2529999999999997,2.7510000000000003,0.828,3.0344000000000007,2.6750000000000007,2.7618,2.8165999999999993,2.666200000000001
Upper East Side,3.0774000000000017,3.5698,2.3396,2.5306,2.6612,2.834400000000001,2.3632000000000004,2.207,2.696599999999999,2.619400000000001
Upper West Side,3.0485999999999995,3.6388,2.4366000000000003,2.6704,2.6819999999999995,3.067800000000001,2.1876,2.2142,2.797,2.8704
Inwood and Washington Heights,0.12460000000000002,0.12460000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northeast Queens,2.3248,2.7188000000000008,0.4808,2.0948,0.0756,2.4170000000000003,0.27040000000000003,1.1885999999999999,0.48179999999999995,0.9992000000000001
North Queens,2.3248,2.7188000000000008,0.4808,2.0948,0.0756,2.4170000000000003,0.27040000000000003,1.1885999999999999,0.48179999999999995,0.9992000000000001
Central Queens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaica,0.181,2.7996,2.559,0.5504,0.7879999999999999,1.0210000000000001,1.2086,2.5673999999999997,2.9112,2.9868
Northwest Queens,2.3248,2.7188000000000008,0.4808,2.0948,0.0756,2.4170000000000003,0.27040000000000003,1.1885999999999999,0.48179999999999995,0.9992000000000001
West Central Queens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rockaways,0.5356,2.3828,2.526,0.8618000000000002,0.6372,0.7936,1.2086,2.4929999999999994,2.9135999999999997,3.0048000000000004
Southeast Queens,2.3248,2.7188000000000008,0.4808,2.0948,0.0756,2.4170000000000003,0.27040000000000003,1.1885999999999999,0.48179999999999995,0.9992000000000001
Southwest Queens,2.3248,2.7188000000000008,0.4808,2.0948,0.0756,2.4170000000000003,0.27040000000000003,1.1885999999999999,0.48179999999999995,0.9992000000000001
West Queens,2.3248,2.7188000000000008,0.4808,2.0948,0.0756,2.4170000000000003,0.27040000000000003,1.1885999999999999,0.48179999999999995,0.9992000000000001
Port Richmond,0.33080000000000004,2.185,0.1502,0.4678000000000001,0.13540000000000002,0.0,0.12020000000000002,0.12020000000000002,0.1504,0.39220000000000005
South Shore,0.46980000000000005,2.1681999999999997,0.2258,0.32039999999999996,0.12020000000000002,0.3942000000000001,0.301,0.1504,0.3012,0.22999999999999998
Stapleton and St. George,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mid-Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
